number,name,species,primary_type,secondary_type,pokedexX,pokedexY,pokedexOR,pokedexAS
98,Krabby,River Crab,WATER,NONE,"If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger.",It can be found near the sea. The large pincers grow back if they are torn out of their sockets.,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pok̩mon can be seen squabbling with each other over territory.","Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pok̩mon can be seen squabbling with each other over territory."
99,Kingler,Pincer,WATER,NONE,"The large and hard pincer has 10,000-horsepower strength. However, being so big, it is unwieldy to move.","Its pincers grow peculiarly large. If it lifts the pincers too fast, it loses its balance and staggers.","Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pok̩mon quickly tires.","Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pok̩mon quickly tires."
100,Voltorb,Ball,ELECTRIC,NONE,It was discovered when Pok̩ Balls were introduced. It is said that there is some connection.,"Usually found in power plants. Easily mistaken for a Pok̩ Ball, it has zapped many people.",Voltorb was first sighted at a company that manufactures Pok̩ Balls. The link between that sighting and the fact that this Pok̩mon looks very similar to a Pok̩ Ball remains a mystery.,Voltorb is extremely sensitive-it explodes at the slightest of shocks. It is rumored that it was first created when a Pok̩ Ball was exposed to a powerful pulse of energy.
101,Electrode,Ball,ELECTRIC,NONE,"It explodes in response to even minor stimuli. It is feared, with the nickname of ""The Bomb Ball.""",It stores an overflowing amount of electric energy inside its body. Even a small shock makes it explode.,"Electrode eats electricity in the atmosphere. On days when lightning strikes, you can see this Pok̩mon exploding all over the place from eating too much electricity.",One of Electrode's characteristics is its attraction to electricity. It is a problematical Pok̩mon that congregates mostly at electrical power plants to feed on electricity that has just been generated.
102,Exeggcute,Egg,GRASS,PSYCHIC,Its six eggs converse using telepathy. They can quickly gather if they become sparated.,"Even though it appears to be eggs of some sort,  it was discovered to be a life-form more like  plant seeds.","This Pok̩mon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.","This Pok̩mon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution."
103,Exeggutor,Coconut,GRASS,PSYCHIC,"Its three heads think independently. However, they are friendly and never appear to squabble.","It is called ""The Walking Jungle."" If a head grows  too big, it falls off and becomes an Exeggcute. ","Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.","Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute."
104,Cubone,Lonely,GROUND,NONE,"It wears the skull of its dead mother on its head. When it becomes lonesome, it is said to cry loudly.","It always wears the skull of its dead mother, so no one has any idea what its hidden face looks like.","Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pok̩mon wears are made by the tears it sheds.","Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pok̩mon wears are made by the tears it sheds."
105,Marowak,Bone Keeper,GROUND,NONE,It is small and was originally very weak. Its temperament turned ferocious when it began using bones.,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pok̩mon's tempered and hardened spirit is not easily broken.,Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pok̩mon's tempered and hardened spirit is not easily broken.
106,Hitmonlee,Kicking,FIGHTING,NONE,The legs freely contract and stretch. The stretchy legs allow it to hit a distant foe with a rising kick.,"If it starts kicking repeatedly, both legs will stretch even longer to strike a fleeing foe.","Hitmonlee's legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.","Hitmonlee's legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue."
107,Hitmonchan,Punching,FIGHTING,NONE,The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.,The spirit of a pro boxer has infused this Pok̩mon. It throws punches that are faster than a bullet train. ,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pok̩mon has an indomitable spirit and will never give up in the face of adversity.,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pok̩mon has an indomitable spirit and will never give up in the face of adversity.
108,Lickitung,Licking,NORMAL,NONE,"Its long tongue, slathered with a gooey saliva, sticks to anything, so it is very useful.",Its tongue is twice the length of its body. It can be moved like an arm for grabbing food and attacking.,"Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.","Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things."
109,Koffing,Poison Gas,POISON,NONE,"Its thin, filmy body is filled with gases that cause constant sniffles, coughs and teary eyes. ","Lighter-than-air gases in its body keep it aloft. The gases not only smell, they are also explosive. ","If Koffing becomes agitated, it raises the toxicity of its internal gases and jets them out from all over its body. This Pok̩mon may also overinflate its round body, then explode.","Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pok̩mon."
110,Weezing,Poison Gas,POISON,NONE,"If one of the twin Koffing inflates, the other one deflates. It constantly mixes its poisonous gases. ","Very rarely, a sudden mutation can result in two small Koffing twins becoming conjoined as a Weezing. ","Weezing loves the gases given off by rotted kitchen garbage. This Pok̩mon will find a dirty, unkempt house and make it its home. At night, when the people in the house are asleep, it will go through the trash.","Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pok̩mon also becomes more putrid."
111,Rhyhorn,Spikes,GROUND,ROCK,"Strong, but not too bright, this Pok̩mon can shatter even a skyscraper with its charging Tackles.",It is inept at turning because of its four short legs. It can only charge and run in one direction.,"Rhyhorn runs in a straight line, smashing everything in its path. It is not bothered even if it rushes headlong into a block of steel. This Pok̩mon may feel some pain from the collision the next day, however.","Rhyhorn's brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something."
112,Rhydon,Drill,GROUND,ROCK,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees Fahrenheit. ",It begins walking on its hind legs after evolution. It can punch holes through boulders with its horn.,Rhydon's horn can crush even uncut diamonds. One sweeping blow of its tail can topple a building. This Pok̩mon's hide is extremely tough. Even direct cannon hits don't leave a scratch.,"Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pok̩mon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat."
113,Chansey,Egg,NORMAL,NONE,"It is said to deliver happiness. Being compassionate, it shares its eggs with injured people.",It lays several eggs in a day. The eggs are apparently rich in nutrients and extremely delicious.,"Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.","Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite."
114,Tangela,Vine,GRASS,NONE,"Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole  life long. ",It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.,"Tangela's vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.","Tangela's vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day."
115,Kangaskhan,Parent,NORMAL,NONE,It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.,"If it is safe, the young gets out of the belly pouch to play. The adult keeps a close eye on the youngster.","If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pok̩mon's parent is sure to be in the area, and it will become violently enraged at you.","If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pok̩mon's parent is sure to be in the area, and it will become violently enraged at you."
116,Horsea,Dragon,WATER,NONE,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.,"It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees. ","Horsea eats small insects and moss off of rocks. If the ocean current turns fast, this Pok̩mon anchors itself by wrapping its tail around rocks or coral to prevent being washed away.","If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pok̩mon swims by cleverly flapping the fin on its back."
117,Seadra,Dragon,WATER,NONE,Its body bristles with sharp spikes. Carelessly trying to touch it could cause fainting from the spikes.,It is capable of swimming backwards by rapidly flapping its winglike pectoral fins and stout tail. ,Seadra sleeps after wriggling itself between the branches of coral. Those trying to harvest coral are occasionally stung by this Pok̩mon's poison barbs if they fail to notice it.,"Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pok̩mon weakens prey with these currents, then swallows it whole."
118,Goldeen,Goldfish,WATER,NONE,"It swims at a steady 5 knots. If it senses danger, it will strike back with its sharp horn.","Its dorsal, pectoral, and tail fins wave elegantly in water. That is why it is known as the water dancer. ","Goldeen is a very beautiful Pok̩mon with fins that billow elegantly in water. However, don't let your guard down around this Pok̩mon-it could ram you powerfully with its horn.","Goldeen loves swimming wild and free in rivers and ponds. If one of these Pok̩mon is placed in an aquarium, it will shatter even the thickest glass with one ram of its horn and make its escape."
119,Seaking,Goldfish,WATER,NONE,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks.",It makes its nest by hollowing out boulders in  streams with its horn. It defends its eggs with  its life.,"In the autumn, Seaking males can be seen performing courtship dances in riverbeds to woo females. During this season, this Pok̩mon's body coloration is at its most beautiful.",Seaking is very protective of its eggs. The male and female will take turns patrolling around their nest and eggs. The guarding of eggs by these Pok̩mon goes on for over a month.
120,Staryu,Starshape,WATER,NONE,"Even if its body is torn, it can regenerate as long as the glowing central core remains intact.","It appears in large numbers by seashores. At night,  its central core flashes with a red light. ","Staryu's center section has an organ called the core that shines bright red. If you go to a beach toward the end of summer, the glowing cores of these Pok̩mon look like the stars in the sky.","Staryu apparently communicates with the stars in the night sky by flashing the red core at the center of its body. If parts of its body are torn, this Pok̩mon simply regenerates the missing pieces and limbs."
121,Starmie,Mysterious,WATER,PSYCHIC,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem.,"At the center of its body is a red core, which sends  mysterious radio signals into the night sky. ","Starmie's center section-the core-glows brightly in seven colors. Because of its luminous nature, this Pok̩mon has been given the nickname ""the gem of the sea.""",Starmie swims through water by spinning its star-shaped body as if it were a propeller on a ship. The core at the center of this Pok̩mon's body glows in seven colors.
122,Mr. Mime,Barrier,PSYCHIC,FAIRY,Emanations from its fingertips solidify the air into invisible walls that repel even harsh attacks.,It is adept at conning people. It is said to be able to create walls out of thin air by miming.,"Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real.","Mr. Mime is a master of pantomime. Its gestures and motions convince watchers that something unseeable actually exists. Once the watchers are convinced, the unseeable thing exists as if it were real."
123,Scyther,Mantis,BUG,FLYING,It tears and shreds prey with its wickedly sharp scythes. It very rarely spreads its wings to fly.,"It slashes through grass with its sharp scythes,  moving too fast for the human eye to track.","Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pok̩mon's scythes are so effective, they can slice through thick logs in one wicked stroke.","Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pok̩mon's scythes are so effective, they can slice through thick logs in one wicked stroke."
124,Jynx,Humanshape,ICE,PSYCHIC,It wiggles its hips as it walks. It can  cause people to dance in unison with it.,It speaks using a language that sounds human. Research is under way to determine what is being said.,"Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing.","Jynx walks rhythmically, swaying and shaking its hips as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without giving any thought to what they are doing."
125,Electabuzz,Electric,ELECTRIC,NONE,"Electricity runs across the surface of its body. In darkness, its entire body glows a whitish blue.",It loves to feed on strong electricity. It occasionally appears around large power plants and so on.,"When a storm arrives, gangs of this Pok̩mon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods.","When a storm arrives, gangs of this Pok̩mon compete with each other to scale heights that are likely to be stricken by lightning bolts. Some towns use Electabuzz in place of lightning rods."
126,Magmar,Spitfire,FIRE,NONE,"Found near the mouth of a volcano. This fire-breather's body temperature is nearly 2,200 degree Fahrenheit. ","Born in the spout of a volcano, its body is covered by flames that shimmer like the sun. ","In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pok̩mon's fiery bursts create heat waves that ignite grass and trees in its surroundings.","In battle, Magmar blows out intensely hot flames from all over its body to intimidate its opponent. This Pok̩mon's fiery bursts create heat waves that ignite grass and trees in its surroundings."
127,Pinsir,Stagbeetle,BUG,NONE,"It grips prey with its pincers until the prey is torn in half. What it can't tear, it tosses far.","It swings its long pincer horns wildly to attack.  During cold periods, it hides deep in forests. ",Pinsir is astoundingly strong. It can grip a foe weighing twice its weight in its horns and easily lift it. This Pok̩mon's movements turn sluggish in cold places.,"Pinsir has a pair of massive horns. Protruding from the surface of these horns are thorns. These thorns are driven deeply into the foe's body when the pincer closes, making it tough for the foe to escape."
128,Tauros,Wild Bull,NORMAL,NONE,"After heightening its will to fight by whipping itself with its three tails, it charges at full speed.","When it is about to tackle, it whips its body repeatedly with its three long tails.","This Pok̩mon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself.","This Pok̩mon is not satisfied unless it is rampaging at all times. If there is no opponent for Tauros to battle, it will charge at thick trees and knock them down to calm itself."
129,Magikarp,Fish,WATER,NONE,It is virtually worthless in terms of both power and speed. It is the most weak and pathetic Pok̩mon in the world.,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today.",Magikarp is a pathetic excuse for a Pok̩mon that is only capable of flopping and splashing. This behavior prompted scientists to undertake research into it.,"Magikarp is virtually useless in battle as it can only splash around. As a result, it is considered to be weak. However, it is actually a very hardy Pok̩mon that can survive in any body of water no matter how polluted it is."
130,Gyarados,Atrocious,WATER,FLYING,"In ancient literature, there is a record of a Gyarados that razed a village when violence flared.","Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage.","When Magikarp evolves into Gyarados, its brain cells undergo a structural transformation. It is said that this transformation is to blame for this Pok̩mon's wildly violent nature.","Once Gyarados goes on a rampage, its ferociously violent blood doesn't calm until it has burned everything down. There are records of this Pok̩mon's rampages lasting a whole month."
131,Lapras,Transport,WATER,ICE,"They have gentle hearts. Because they rarely fight, many have been caught. Their number has dwindled.",Its high intelligence enables it to understand human speech. It likes to ferry people on its back.,"People have driven Lapras almost to the point of extinction. In the evenings, this Pok̩mon is said to sing plaintively as it seeks what few others of its kind still remain.","People have driven Lapras almost to the point of extinction. In the evenings, this Pok̩mon is said to sing plaintively as it seeks what few others of its kind still remain."
132,Ditto,Transform,NORMAL,NONE,It has the ability to reconstitute its entire cellular structure to transform into whatever it sees.,It can freely recombine its own cellular structure to transform into other life-forms.,"Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pok̩mon manages to get details wrong.","Ditto rearranges its cell structure to transform itself into other shapes. However, if it tries to transform itself into something by relying on its memory, this Pok̩mon manages to get details wrong."
133,Eevee,Evolution,NORMAL,NONE,A rare Pok̩mon that adapts to harsh environments by taking on different evolutionary forms.,"Thanks to its unstable genetic makeup, this special Pok̩mon conceals many different possible evolutions.",Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pok̩mon to evolve.,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various stones causes this Pok̩mon to evolve.
134,Vaporeon,Bubble Jet,WATER,NONE,"It prefers beautiful shores. With cells similar to water molecules, it could melt in water.",It has evolved to be suitable for an aquatic life. It can invisibly melt away into water.,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pok̩mon has the ability to freely control water.,Vaporeon underwent a spontaneous mutation and grew fins and gills that allow it to live underwater. This Pok̩mon has the ability to freely control water.
135,Jolteon,Lightning,ELECTRIC,NONE,Every hair on its body starts to stand sharply on  end if it becomes charged with electricity.,"It accumulates negative ions in the atmosphere to blast out 10,000-volt lightning bolts.","Jolteon's cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pok̩mon to drop thunderbolts. The bristling fur is made of electrically charged needles.","Jolteon's cells generate a low level of electricity. This power is amplified by the static electricity of its fur, enabling the Pok̩mon to drop thunderbolts. The bristling fur is made of electrically charged needles."
136,Flareon,Flame,FIRE,NONE,"It has a flame sac in its body. Its body temperature  tops 1,650 degrees Fahrenheit before battle.","It has a flame bag inside its body. After inhaling deeply, it blows out flames of nearly 3,000 degrees Fahrenheit.","Flareon's fluffy fur has a functional purpose-it releases heat into the air so that its body does not get excessively hot. This Pok̩mon's body temperature can rise to a maximum of 1,650 degrees Fahrenheit.","Flareon's fluffy fur has a functional purpose-it releases heat into the air so that its body does not get excessively hot. This Pok̩mon's body temperature can rise to a maximum of 1,650 degrees Fahrenheit."
137,Porygon,Virtual,NORMAL,NONE,A manmade Pok̩mon that came about as a result of research. It is programmed with only basic motions. ,A Pok̩mon that consists entirely of programming code. It is capable of moving freely in cyberspace. ,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pok̩mon is copy protected so it cannot be duplicated by copying.,Porygon is capable of reverting itself entirely back to program data and entering cyberspace. This Pok̩mon is copy protected so it cannot be duplicated by copying.
138,Omanyte,Spiral,ROCK,WATER,"A prehistoric Pok̩mon that lived in the primordial sea, it swims by twisting its 10 tentacles about.","Revived from an ancient fossil, this Pok̩mon uses air stored in its shell to sink and rise in water.","Omanyte is one of the ancient and long-since-extinct Pok̩mon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell.","Omanyte is one of the ancient and long-since-extinct Pok̩mon that have been regenerated from fossils by people. If attacked by an enemy, it withdraws itself inside its hard shell."
139,Omastar,Spiral,ROCK,WATER,"Its tentacles are highly developed as if they are hands and feet. As soon as it ensnares prey, it bites.","Once wrapped around its prey, it never lets go. It eats the prey by tearing at it with sharp fangs. ","Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous.","Omastar uses its tentacles to capture its prey. It is believed to have become extinct because its shell grew too large and heavy, causing its movements to become too slow and ponderous."
140,Kabuto,Shellfish,ROCK,WATER,It is thought to have inhabited beaches 300 million years ago. It is protected by a stiff shell.,This Pok̩mon was regenerated from the fossil of an ancient creature. It protects itself with a hard shell. ,"Kabuto is a Pok̩mon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pok̩mon has not changed at all for 300 million years.","Kabuto is a Pok̩mon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pok̩mon has not changed at all for 300 million years."
141,Kabutops,Shellfish,ROCK,WATER,"In the water, it tucks in its limbs to become more compact, then it wiggles its shell to swim fast.",A slim and fast swimmer. It slices its prey with its sharp sickles and drinks the body fluids. ,Kabutops swam underwater to hunt for its prey in ancient times. The Pok̩mon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.,Kabutops swam underwater to hunt for its prey in ancient times. The Pok̩mon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs.
142,Aerodactyl,Fossil,ROCK,FLYING,It was regenerated from a dinosaur's genetic matter that was found in amber. It flies with high-pitched cries.,This vicious Pok̩mon is said to have flown in ancient skies while shrieking high-pitched cries.,Aerodactyl is a Pok̩mon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,Aerodactyl is a Pok̩mon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.
143,Snorlax,Sleeping,NORMAL,NONE,"It is not satisfied unless it eats over 880 pounds of  food every day. When it is done eating, it goes  promptly to sleep.","Its stomach can digest any kind of food, even if it happens to be moldy or rotten.",Snorlax's typical day consists of nothing more than eating and sleeping. It is such a docile Pok̩mon that there are children who use its expansive belly as a place to play.,Snorlax's typical day consists of nothing more than eating and sleeping. It is such a docile Pok̩mon that there are children who use its expansive belly as a place to play.
144,Articuno,Freeze,ICE,FLYING,A legendary bird Pok̩mon. It can create blizzards by freezing moisture in the air.,A legendary bird Pok̩mon that is said to appear to doomed people who are lost in icy mountains.,"Articuno is a legendary bird Pok̩mon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pok̩mon flies, snow will fall.","Articuno is a legendary bird Pok̩mon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pok̩mon flies, snow will fall."
145,Zapdos,Electric,ELECTRIC,FLYING,A legendary bird Pok̩mon that is said to appear from clouds while dropping enormous lightning bolts.,A legendary Pok̩mon that is said to live in  thunderclouds. It freely controls lightning bolts.,Zapdos is a legendary bird Pok̩mon that has the ability to control electricity. It usually lives in thunderclouds. The Pok̩mon gains power if it is stricken by lightning bolts.,Zapdos is a legendary bird Pok̩mon that has the ability to control electricity. It usually lives in thunderclouds. The Pok̩mon gains power if it is stricken by lightning bolts.
146,Moltres,Flame,FIRE,FLYING,It is said to be the legendary bird Pok̩mon of fire. Every flap of its wings creates a dazzling flare of flames. ,One of the legendary bird Pok̩mon. It is said that its appearance indicates the coming of spring.,"Moltres is a legendary bird Pok̩mon that has the ability to control fire. If this Pok̩mon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.","Moltres is a legendary bird Pok̩mon that has the ability to control fire. If this Pok̩mon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself."
147,Dratini,Dragon,DRAGON,NONE,"It is called the ""Mirage Pok̩mon"" because so few have seen it. Its shed skin has been found.",This Pok̩mon is full of life energy. It continually sheds its skin and grows steadily larger.,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.
148,Dragonair,Dragon,DRAGON,NONE,Its crystalline orbs appear to give this Pok̩mon the power to freely control the weather.,A mystical Pok̩mon that exudes a gentle aura. It is said to have the ability to change the weather.,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.,Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.
149,Dragonite,Dragon,DRAGON,FLYING,It can fly in spite of its big and bulky physique. It circles the globe in just 16 hours.,It is said to make its home somewhere in the sea. It guides crews of shipwrecks to shore.,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pok̩mon that leads lost and foundering ships in a storm to the safety of land.,Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pok̩mon that leads lost and foundering ships in a storm to the safety of land.
150,Mewtwo,Genetic,PSYCHIC,NONE,It was created by a scientist after years of horrific gene-splicing and DNA-engineering experiments.,A Pok̩mon created by recombining Mew's genes. It's said to have the most savage heart among Pok̩mon.,"Mewtwo is a Pok̩mon that was created by genetic manipulation. However, even though the scientific power of humans created this Pok̩mon's body, they failed to endow Mewtwo with a compassionate heart.","Mewtwo is a Pok̩mon that was created by genetic manipulation. However, even though the scientific power of humans created this Pok̩mon's body, they failed to endow Mewtwo with a compassionate heart."
151,Mew,New Species,PSYCHIC,NONE,"Because it can use all kinds of moves, many scientists believe Mew to be the ancestor of Pok̩mon.","Its DNA is said to contain the genetic codes of all Pok̩mon, so it can use all kinds of techniques. ","Mew is said to possess the genetic composition of all Pok̩mon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.","Mew is said to possess the genetic composition of all Pok̩mon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people."
152,Chikorita,Leaf,GRASS,NONE,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up sunrays. ,It uses the leaf on its head to determine the temperature and humidity. It loves to sunbathe. ,"In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pok̩mon and creating a cozy, friendly atmosphere all around.","In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pok̩mon and creating a cozy, friendly atmosphere all around."
153,Bayleef,Leaf,GRASS,NONE,A spicy aroma emanates from around its neck. The aroma acts as a stimulant to restore health. ,The buds that ring its neck give off a spicy aroma that perks people up. ,Bayleef's neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.,Bayleef's neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.
154,Meganium,Herb,GRASS,NONE,The aroma that rises from its petals contains a substance that calms aggressive feelings. ,Meganium's breath has the power to revive dead grass and plants. It can make them healthy again. ,"The fragrance of Meganium's flower soothes and calms emotions. In battle, this Pok̩mon gives off more of its becalming scent to blunt the foe's fighting spirit.","The fragrance of Meganium's flower soothes and calms emotions. In battle, this Pok̩mon gives off more of its becalming scent to blunt the foe's fighting spirit."
155,Cyndaquil,Fire Mouse,FIRE,NONE,"It is timid, and always curls itself up in a ball. If attacked, it flares up its back for protection. ","It has a timid nature. If it is startled, the flames on its back burn more vigorously. ","Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pok̩mon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.","Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pok̩mon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion."
156,Quilava,Volcano,FIRE,NONE,"Before battle, it turns its back on its opponent to demonstrate how ferociously its fire blazes",Be careful if it turns its back during battle. It means that it will attack with the fire on its back. ,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pok̩mon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pok̩mon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.
157,Typhlosion,Volcano,FIRE,NONE,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames. ","It has a secret, devastating move. It rubs its blazing fur together to cause huge explosions. ",Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pok̩mon creates blazing explosive blasts that burn everything to cinders.,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pok̩mon creates blazing explosive blasts that burn everything to cinders.
158,Totodile,Big Jaw,WATER,NONE,It is small but rough and tough. It won't hesitate to take a bite out of anything that moves. ,"Its powerful, well-developed jaws are capable of crushing anything. Even its Trainer must be careful. ","Despite the smallness of its body, Totodile's jaws are very powerful. While the Pok̩mon may think it is just playfully nipping, its bite has enough power to cause serious injury.","Despite the smallness of its body, Totodile's jaws are very powerful. While the Pok̩mon may think it is just playfully nipping, its bite has enough power to cause serious injury."
